                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6781,                 3.6484,                 1.3096,                0.85277,                0.59184,                0.75293,                0.46867,                 1.3019,                 2.9894,                 1.1047,              0.0033075,              0.0033075,              0.0033075
                      2,                 1.4198,                  1.954,                 1.1669,                0.91438,                0.73469,                0.85942,                0.51157,                 1.3038,                 1.6403,                 1.1171,              0.0066343,              0.0066343,              0.0066343
                      3,                 1.3901,                 1.4336,                 1.1441,                0.82009,                 0.7415,                 0.8134,                0.48925,                 1.3487,                 1.2429,                 1.1505,              0.0099544,              0.0099544,              0.0099544
                      4,                  1.406,                 1.2499,                 1.1666,                0.82702,                0.66673,                0.76746,                0.47739,                 1.3093,                 1.3213,                  1.179,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4368,                 1.1447,                 1.1966,                0.90244,                0.69218,                0.77783,                0.50164,                 1.2832,                 1.1323,                 1.1919,              0.0099703,              0.0099703,              0.0099703
                      6,                  1.398,                 1.0501,                 1.1711,                0.92152,                0.72109,                0.84836,                0.56113,                 1.1966,                0.92708,                 1.1289,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.3807,                0.99751,                 1.1719,                0.87648,                0.82993,                0.89384,                0.60118,                  1.177,                0.83712,                 1.0902,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.3716,                0.97431,                 1.1733,                0.92371,                0.78245,                0.89235,                0.58494,                 1.2193,                0.81871,                 1.1292,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.3207,                0.91303,                 1.1595,                0.89098,                0.82653,                0.89387,                0.59649,                 1.1915,                0.81223,                 1.1334,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.3192,                0.90918,                 1.1407,                0.90929,                0.81825,                0.90876,                0.60084,                 1.1599,                0.82702,                 1.1161,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.2896,                  0.867,                 1.1461,                0.94708,                0.79139,                0.89631,                0.60038,                 1.1762,                 0.7969,                 1.1326,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.2847,                0.86692,                 1.1468,                0.94683,                0.78743,                0.89547,                0.58539,                 1.2433,                0.79412,                 1.1863,               0.009901,               0.009901,               0.009901
                     13,                 1.2855,                0.85889,                 1.1644,                0.92014,                0.82313,                0.91654,                0.60385,                 1.1569,                0.74679,                 1.1306,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.2903,                0.85579,                 1.1454,                0.86824,                0.82313,                0.90391,                0.59995,                  1.134,                0.77372,                 1.1139,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.2443,                 0.8116,                 1.1363,                0.92278,                0.85357,                0.92435,                0.63573,                 1.1009,                0.75037,                 1.0875,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.2346,                0.79332,                 1.1299,                0.92831,                0.85034,                0.92914,                 0.6448,                 1.0956,                0.70072,                 1.0891,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.2345,                0.78447,                 1.1188,                0.93701,                0.85714,                0.94098,                0.65625,                 1.0581,                0.65393,                 1.0653,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.2356,                 0.7966,                  1.125,                  0.907,                0.86245,                0.93705,                 0.6207,                 1.1168,                0.67617,                 1.0972,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.2212,                0.76667,                 1.1112,                0.93031,                0.88095,                0.93596,                0.63661,                 1.0807,                0.68101,                  1.068,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.2092,                0.76957,                 1.1147,                0.93681,                0.85374,                0.93837,                0.65281,                 1.0461,                0.66134,                 1.0575,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.1756,                0.73404,                 1.0898,                 0.9283,                0.89796,                 0.9367,                0.65782,                 1.0657,                0.65269,                 1.0616,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.1932,                0.74693,                  1.103,                0.93266,                0.84794,                0.92549,                0.64143,                 1.0899,                0.69367,                  1.086,               0.009802,               0.009802,               0.009802
                     23,                 1.1843,                0.75306,                 1.1012,                0.95115,                0.83333,                0.94183,                0.65361,                  1.065,                0.64213,                 1.0597,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.2033,                0.73547,                 1.1029,                0.88504,                0.89116,                0.92704,                0.65083,                 1.0648,                0.65648,                 1.0677,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.1703,                0.72146,                  1.089,                0.94764,                0.84694,                 0.9425,                 0.6738,                 1.0385,                0.61167,                 1.0402,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.1681,                0.73203,                 1.0987,                0.94405,                0.86083,                0.94493,                0.65334,                 1.0622,                0.65315,                 1.0802,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.1666,                0.72098,                 1.0804,                0.87265,                0.88435,                0.93975,                  0.657,                 1.0412,                0.64854,                 1.0674,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.1503,                0.71517,                 1.0755,                0.92455,                0.85714,                0.93316,                0.66438,                 1.0289,                0.64155,                 1.0438,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.1635,                0.72135,                 1.0799,                0.93194,                0.83834,                0.93314,                0.66082,                 1.0366,                0.65262,                 1.0469,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.1671,                0.71714,                 1.0815,                 0.9067,                0.89245,                0.94334,                0.67614,                 1.0179,                0.61942,                 1.0403,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.1504,                0.70586,                 1.0866,                0.95721,                0.87075,                0.95078,                0.67813,                 1.0266,                 0.5957,                 1.0455,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.1209,                0.69424,                 1.0807,                0.95258,                0.89796,                0.95235,                0.67615,                 1.0259,                0.61257,                 1.0374,               0.009703,               0.009703,               0.009703
                     33,                 1.1056,                0.67368,                 1.0572,                0.96712,                0.84354,                0.93728,                0.67717,                 1.0171,                0.58699,                 1.0457,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.1337,                0.68367,                 1.0617,                0.93123,                 0.8751,                0.94478,                0.66838,                 1.0487,                0.62092,                 1.0503,              0.0096832,              0.0096832,              0.0096832
                     35,                  1.137,                 0.6851,                 1.0724,                0.92557,                0.88829,                0.94222,                0.68232,                0.99737,                0.61126,                 1.0389,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.1281,                 0.6872,                 1.0776,                 0.9514,                0.86567,                0.94301,                0.68127,                0.99869,                0.59442,                 1.0326,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.1208,                 0.6744,                 1.0598,                0.96063,                0.86054,                0.94239,                0.68093,                0.99579,                0.59993,                 1.0268,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.0977,                0.67432,                  1.058,                0.94201,                0.88776,                0.94066,                0.68234,                0.99241,                0.59534,                  1.028,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1142,                0.67715,                 1.0758,                0.90544,                0.87932,                0.94671,                0.68019,                0.99782,                0.59626,                 1.0302,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.1193,                0.68061,                 1.0605,                0.94987,                0.87755,                0.95013,                0.67446,                0.99295,                 0.6026,                 1.0295,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1148,                0.66974,                 1.0664,                0.92688,                0.89456,                0.95556,                0.67735,                 1.0299,                0.57004,                 1.0435,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1323,                 0.6846,                 1.0694,                0.93413,                0.81998,                0.93046,                0.67796,                0.98184,                0.61619,                 1.0193,               0.009604,               0.009604,               0.009604
                     43,                 1.0774,                0.64281,                  1.044,                0.91776,                0.87308,                0.94992,                0.69067,                0.98535,                0.56683,                 1.0189,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.0922,                0.65216,                 1.0466,                0.93726,                0.86054,                0.94208,                0.66914,                  1.005,                0.59917,                 1.0308,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.0886,                0.65056,                 1.0525,                0.91088,                0.90393,                0.94855,                0.68593,                0.97949,                0.58353,                 1.0173,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.1213,                0.66478,                 1.0602,                0.91571,                0.88776,                0.93555,                0.68964,                0.98482,                0.57072,                 1.0239,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.0833,                 0.6439,                 1.0407,                0.94228,                0.86735,                0.94554,                0.68562,                0.98464,                0.57634,                  1.025,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.0608,                0.64427,                 1.0365,                0.94808,                0.84694,                0.93019,                0.67406,                 1.0194,                0.60575,                  1.029,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.0712,                0.65288,                 1.0385,                0.93799,                0.87755,                0.94469,                0.69455,                0.97032,                0.57421,                 1.0113,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.0492,                0.63217,                 1.0475,                0.93228,                0.88972,                0.95237,                 0.6929,                0.96916,                  0.561,                 1.0061,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.0683,                0.63112,                 1.0405,                0.93277,                0.89659,                0.95411,                0.69088,                0.99361,                0.54558,                 1.0164,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.0833,                 0.6483,                 1.0471,                0.96135,                0.87075,                0.94409,                0.67892,                0.98163,                0.57532,                 1.0155,               0.009505,               0.009505,               0.009505
                     53,                 1.0748,                0.63219,                 1.0299,                0.92765,                0.90476,                0.94027,                0.68954,                0.98556,                0.55816,                 1.0182,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.075,                0.63769,                 1.0419,                0.95581,                0.88284,                0.94843,                0.69206,                0.97013,                0.56004,                 1.0182,              0.0094852,              0.0094852,              0.0094852
                     55,                  1.055,                 0.6163,                 1.0346,                0.93409,                0.88435,                0.94046,                0.69086,                0.97217,                0.55815,                 1.0234,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.0424,                0.61742,                 1.0268,                0.95196,                0.88776,                0.95188,                0.70486,                0.95474,                0.54599,                  1.002,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.0324,                0.60774,                 1.0214,                0.96439,                0.88095,                0.95958,                0.70126,                0.96756,                0.53518,                 1.0083,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.0422,                0.62087,                 1.0212,                0.91369,                0.91156,                 0.9536,                0.69608,                 0.9514,                0.53927,                 1.0014,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.0471,                0.61993,                 1.0215,                0.95206,                0.87823,                 0.9536,                0.69441,                0.97568,                0.54357,                 1.0116,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.0294,                0.59608,                 1.0156,                0.93389,                0.88776,                0.94028,                 0.6989,                0.94993,                0.54174,                 1.0065,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.0282,                 0.6063,                 1.0232,                0.93697,                0.88435,                0.94635,                0.69646,                0.94627,                0.53724,                0.99528,              0.0094159,              0.0094159,              0.0094159
