                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7423,                 3.3599,                 1.3896,                0.00332,                0.81041,                0.11753,                0.06125,                 1.3495,                 4.3746,                 1.1522,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.5495,                 2.2588,                 1.2883,                0.80257,                0.11941,                0.26082,                0.15589,                 1.4373,                 3.8657,                  1.318,              0.0013149,              0.0013149,              0.0013149
                      3,                 1.5553,                 1.8855,                  1.271,                 0.6807,                0.44117,                 0.5164,                0.29235,                  1.498,                 2.7457,                 1.2931,               0.001979,               0.001979,               0.001979
                      4,                 1.5283,                 1.6556,                 1.3091,                0.45754,                0.38985,                0.38163,                0.21537,                  1.564,                 3.0126,                 1.4087,              0.0019941,              0.0019941,              0.0019941
                      5,                 1.5184,                  1.536,                 1.2645,                0.81084,                0.63017,                0.71959,                0.43198,                 1.3974,                 1.6479,                 1.2708,              0.0019941,              0.0019941,              0.0019941
                      6,                 1.4904,                 1.3635,                   1.28,                0.90359,                0.72575,                0.82718,                0.51103,                 1.2954,                 1.7396,                  1.217,              0.0019921,              0.0019921,              0.0019921
                      7,                 1.4049,                 1.1932,                 1.2514,                0.85759,                0.73031,                0.81267,                0.50213,                 1.3048,                 1.1425,                 1.1923,              0.0019901,              0.0019901,              0.0019901
                      8,                 1.3841,                 1.1926,                 1.2409,                0.83835,                0.69693,                0.79663,                0.49512,                 1.3241,                 1.1097,                 1.2004,              0.0019881,              0.0019881,              0.0019881
                      9,                 1.4047,                 1.1068,                 1.2393,                0.89128,                0.79306,                0.86992,                0.55789,                 1.2279,                0.94753,                 1.1886,              0.0019861,              0.0019861,              0.0019861
                     10,                 1.3459,                 0.9988,                 1.1996,                 0.9027,                0.76794,                0.86491,                0.54656,                 1.2348,                0.96321,                 1.1636,              0.0019842,              0.0019842,              0.0019842
                     11,                 1.3607,                 1.0628,                 1.2196,                0.92269,                0.81268,                0.89752,                0.57815,                 1.2235,                0.84701,                 1.1683,              0.0019822,              0.0019822,              0.0019822
                     12,                  1.326,                 1.0296,                 1.2034,                0.90134,                0.81709,                0.89737,                0.57725,                 1.2324,                0.85257,                 1.1714,              0.0019802,              0.0019802,              0.0019802
                     13,                 1.3179,                0.96727,                  1.203,                0.80327,                0.72363,                0.80069,                0.52201,                 1.1605,                 1.3671,                 1.1373,              0.0019782,              0.0019782,              0.0019782
                     14,                 1.3212,                0.98526,                 1.1971,                 0.9206,                0.81442,                0.90227,                0.59721,                 1.1382,                0.83966,                 1.1178,              0.0019762,              0.0019762,              0.0019762
                     15,                 1.3056,                0.98228,                   1.19,                0.90208,                0.84513,                  0.917,                0.60475,                 1.1296,                0.80193,                 1.1118,              0.0019743,              0.0019743,              0.0019743
                     16,                 1.2664,                0.87441,                 1.1911,                0.88763,                0.83845,                0.91671,                0.60707,                 1.1807,                0.78757,                 1.1306,              0.0019723,              0.0019723,              0.0019723
                     17,                 1.2565,                0.90519,                 1.1845,                0.91399,                0.81842,                0.89979,                 0.6146,                 1.0796,                0.77168,                 1.0976,              0.0019703,              0.0019703,              0.0019703
                     18,                 1.2443,                0.93499,                  1.202,                0.91446,                0.77437,                0.87811,                0.59041,                 1.0852,                 1.0543,                 1.1247,              0.0019683,              0.0019683,              0.0019683
                     19,                 1.2054,                0.87086,                 1.1485,                0.93117,                0.84888,                0.92271,                0.63584,                 1.0823,                0.72517,                 1.1002,              0.0019663,              0.0019663,              0.0019663
                     20,                 1.1902,                0.83924,                 1.1566,                0.91795,                 0.8365,                0.91949,                0.63581,                 1.0527,                0.71239,                 1.0779,              0.0019644,              0.0019644,              0.0019644
                     21,                 1.1959,                0.84184,                 1.1243,                0.93925,                0.79439,                0.89237,                0.60312,                 1.1083,                0.84323,                 1.1082,              0.0019624,              0.0019624,              0.0019624
                     22,                 1.2246,                0.82874,                 1.1808,                0.91308,                0.84513,                 0.9212,                0.64162,                 1.0546,                0.77511,                 1.0785,              0.0019604,              0.0019604,              0.0019604
                     23,                 1.1973,                0.83702,                  1.137,                 0.9336,                0.84646,                0.92024,                0.63048,                 1.0629,                0.75123,                 1.0828,              0.0019584,              0.0019584,              0.0019584
                     24,                 1.1688,                0.84771,                  1.124,                0.90406,                0.86382,                0.92959,                0.64776,                 1.0482,                0.70575,                 1.0612,              0.0019564,              0.0019564,              0.0019564
                     25,                 1.1602,                0.80985,                 1.1422,                0.93484,                0.86649,                   0.94,                0.65511,                 1.0345,                0.66887,                 1.0735,              0.0019545,              0.0019545,              0.0019545
                     26,                 1.1923,                0.80599,                 1.1421,                0.93898,                0.84379,                0.93362,                0.65582,                 1.0285,                0.68772,                 1.0688,              0.0019525,              0.0019525,              0.0019525
                     27,                 1.1813,                 0.8216,                 1.1302,                0.90497,                0.86459,                0.93781,                0.66173,                 1.0407,                0.67056,                 1.0702,              0.0019505,              0.0019505,              0.0019505
                     28,                 1.1921,                0.85348,                 1.1307,                0.91218,                0.83979,                0.92828,                0.65298,                 1.0278,                0.72792,                 1.0703,              0.0019485,              0.0019485,              0.0019485
                     29,                 1.1395,                0.77935,                 1.1131,                0.90954,                0.88117,                0.93991,                 0.6724,                0.99889,                0.65154,                 1.0546,              0.0019465,              0.0019465,              0.0019465
                     30,                 1.1905,                 0.7922,                 1.1757,                0.91362,                0.89586,                0.95131,                0.67934,                 0.9829,                0.64281,                 1.0563,              0.0019446,              0.0019446,              0.0019446
